id,visitor_id,page,time_spent,start_time
109,,Biking vs Public transport,3.075667,2023-05-21 22:52:33.497853
110,,HomePage,5.844021,2023-05-21 22:54:31.954265
111,,HomePage,9.260904,2023-05-21 22:58:07.595730
112,,Westside Story,28.226875,2023-05-21 22:58:16.865141
113,,HomePage,14.733201,2023-05-21 22:58:45.095740
114,,Westside Story,17.633463,2023-05-21 22:58:59.833055
115,,Westside Story,16.029741,2023-05-21 22:59:17.469487
116,,Westside Story,39.476035,2023-05-21 22:59:33.501991
117,,Westside Story,20.657468,2023-05-21 23:00:12.986814
118,,Westside Story,9.417372,2023-05-21 23:00:33.648346
119,,Rental,8.335377,2023-05-21 23:00:43.069525
120,,Westside Story,4.976391,2023-05-21 23:00:51.407808
121,,Rental,20.727481,2023-05-21 23:00:56.388165
122,,Rental,4.364427,2023-05-21 23:01:17.118753
123,,HomePage,3.622897,2023-05-21 23:01:48.606095
124,,HomePage,7.258338,2023-05-23 21:53:31.479700
125,,Westside Story,4.878288,2023-05-23 21:53:38.747848
126,,Rental,352.906408,2023-05-23 21:53:46.269187
127,,HomePage,8.36454,2023-05-23 21:59:42.023624
128,,Tips,3.757315,2023-05-23 21:59:50.392331
129,,HomePage,10.119853,2023-05-23 21:59:54.153137
130,,Tips,5.143999,2023-05-23 22:00:07.032386
131,,HomePage,17.067989,2023-05-23 22:00:12.181400
132,,Rental,76.17256,2023-05-23 22:00:29.252228
133,,HomePage,18.702792,2023-05-23 22:03:47.821348
134,,Westside Story,4.27866,2023-05-23 22:04:06.531593
135,,Tips,3.808737,2023-05-23 22:04:10.813103
136,,HomePage,16.900938,2023-05-23 22:07:22.931733
137,,HomePage,9.55223,2023-05-23 22:09:49.447528
138,,HomePage,4.313851,2023-05-23 22:09:59.006840
139,,HomePage,7.042808,2023-05-23 22:25:14.169413
140,,HomePage,13.114247,2023-05-24 09:23:59.453608
141,,HomePage,3.444206,2023-05-24 09:28:17.693571
142,,HomePage,8.149793,2023-05-25 23:40:56.561861
143,,Tips,8.863763,2023-05-25 23:41:04.726517
144,,HomePage,34.174608,2023-05-26 11:42:50.124237
